ne_ip,location,type,ssa,phase,ne_name,ne_id,dcc_ip,software_version,hardware_version,pcb_version,last_upload_time,orig_location
10.121.97.213,KUTIYANA,TN725B,GJ_SSA JND,PH3,10.121.97.213_KUTIYANA_TN725B_GJ_SSA JND_PH3,e=18343,10.121.97.213,2.9.1 load2.9.1_p13,B1,2.0,2026-08-30 01:22:55,GUJ_JUNAGADH SSA_PH3
10.121.25.153,MADKA,TN703B,GJ_SSA PNP,PH2,10.121.25.153_MADKA_TN703B_GJ_SSA PNP_PH2,e=18512,10.121.25.153,2.9.1 Rev.B load2.9.1_p14,B1,0.0,2026-07-16 01:31:19,
10.121.96.141,Khirsara,TN703B,GJ_SSA BUJ,PH3,10.121.96.141_Khirsara_TN703B_GJ_SSA BUJ_PH3,e=47327,10.121.96.141,2.9.1 Rev.A load2.9.1_p14,B1,2.0,2026-09-10 01:07:23,
10.121.18.24,ONGC INFOCOM,TN703B,GJ_SSA AM,PH1,10.121.18.24_ONGC INFOCOM_TN703B_GJ_SSA AM_PH1,e=47357,10.121.18.24,2.9.1 Rev.B load2.9.1_p14,B1,0.0,2026-07-09 01:34:02,
10.121.97.68,Chhitoda EXCpan,TN705B,GJ_SSA HMR,PH3,10.121.97.68_Chhitoda EXCpan_TN705B_GJ_SSA HMR_PH3,e=18791,10.121.97.68,2.9.1 load2.9.1_p13,B1,2.0,2026-08-28 01:19:42,
10.121.24.144,Haridarshan,TN703B,GJ_SSA VAL,PH,10.121.24.144_Haridarshan_TN703B_GJ_SSA VAL_PH,e=10892,10.121.24.144,2.9.1 Rev.B load2.9.1_p14,B1,0.0,2026-03-10 01:31:32,
10.121.16.27,Baroda CITY,TN725B,WTR_AM,PH2,10.121.16.27_Baroda CITY_TN725B_WTR_AM_PH2,e=10847,10.121.16.27,2.9.1 load2.9.1_p13,B1,2.0,2026-05-25 01:27:43,GUJ_VADODRA SSA_PH3
10.121.99.139,SLDC GOTRI,TN725B,GJ_SSA VDR,PH3,10.121.99.139_SLDC GOTRI_TN725B_GJ_SSA VDR_PH3,e=10681,10.121.99.139,2.9.1 load2.9.1_p13,B1,2.0,2026-08-07 01:37:03,GUJ_VADODRA SSA_PH3
10.121.99.141,WADI,TN705B,GJ_SSA VDR,PH3,10.121.99.141_WADI_TN705B_GJ_SSA VDR_PH3,e=10625,10.121.99.141,2.9.1 load2.9.1_p13,B1,2.0,2026-08-28 01:31:13,GUJ_VADODRA SSA _PH3
10.121.99.138,SANGAM ROAD LINE BTS,TN725B,GJ_SSA VDR,PH3,10.121.99.138_SANGAM ROAD LINE BTS_TN725B_GJ_SSA VDR_PH3,e=10649,10.121.99.138,2.9.1 load2.9.1_p13,B1,2.0,2026-06-04 01:50:28,GUJ_VADODRA SSA_PH3
10.121.99.143,JAY YOGESHWAR,TN705B,GJ_SSA VDR,PH3,10.121.99.143_JAY YOGESHWAR_TN705B_GJ_SSA VDR_PH3,e=10867,10.121.99.143,2.9.1 load2.9.1_p13,B1,2.0,2026-06-03 01:51:05,GUJ_VADODARA SSA_
