Index,Object Fid,Last Upload Time,NE Name,NE ID,NE Type,DCC IP,Net Mask,Software Version,Hardware Version,PCB Version,Manufacture Date,Location,
839,\10.121.100.29_SHIV IND BTS_TN703B_GJ_SSA SR_PH3,2026-09-10 01:01:46,10.121.100.29_SHIV IND BTS_TN703B_GJ_SSA SR_PH3,\e=21665,TN703B R2.9.2 Rev.B,10.121.100.29,,2.9.1 Rev.B load2.9.1_p14,B1,0,,GUJ -SURAT SSA,
840,\10.121.19.102_GURURAXA BTS_TN703B_GJ_SSA RJ_PH3,2026-04-29 01:27:28,10.121.19.102_GURURAXA BTS_TN703B_GJ_SSA RJ_PH3,\e=43154,TN703B R2.9.2 Rev.A,10.121.19.102,,2.9.1 Rev.A load2.9.1_p14,B1,2,,,
841,\10.121.19.150_CITY ENCLAVE BTS_TN703B_GJ_SSA VDR_PH2,2026-08-21 01:06:16,10.121.19.150_CITY ENCLAVE BTS_TN703B_GJ_SSA VDR_PH2,\e=6391,TN703B R2.9.2 Rev.B,10.121.19.150,,2.9.1 Rev.B load2.9.1_p14,B1,0,,GUJ _VADODARA  SSA,
842,\10.121.17.31_SHIVRAJGADH_TN703B_GJ_SSA RJ_PH3,2026-08-21 01:07:47,10.121.17.31_SHIVRAJGADH_TN703B_GJ_SSA RJ_PH3,\e=48241,TN703B R2.9.2 Rev.B,10.121.17.31,,2.9.1 Rev.B load2.9.1_p14,B1,0,,,
843,\10.121.96.83_KEVADIA COLONY_TN705B_GJ_SSA BCH_PH3,2026-09-11 01:06:34,10.121.96.83_KEVADIA COLONY_TN705B_GJ_SSA BCH_PH3,\e=26699,TN705B R2.9.2,10.121.96.83,,2.9.1 load2.9.1_p13,B1,0,,,
844,\10.121.17.35_LILAKHA_TN703B_GJ_SSA RJ_PH3,2026-07-30 01:42:48,10.121.17.35_LILAKHA_TN703B_GJ_SSA RJ_PH3,\e=48265,TN703B R2.9.2 Rev.A,10.121.17.35,,2.9.1 Rev.A load2.9.1_p14,B1,2,,,
845,\10.121.17.36_GOMTA_TN703B_GJ_SSA RJ_PH3,2026-07-10 01:15:06,10.121.17.36_GOMTA_TN703B_GJ_SSA RJ_PH3,\e=48271,TN703B R2.9.2 Rev.A,10.121.17.36,,2.9.1 Rev.A load2.9.1_p14,B1,2,,,
846,\10.121.17.32_DERDI_TN703B_GJ_SSA RJ_PH3,2026-08-20 01:09:57,10.121.17.32_DERDI_TN703B_GJ_SSA RJ_PH3,\e=48247,TN703B R2.9.2 Rev.B,10.121.17.32,,2.9.1 Rev.B load2.9.1_p14,B1,0,,,
847,\10.121.17.33_VASAVAD_TN703B_GJ_SSA RJ_PH3,2026-09-11 01:07:28,10.121.17.33_VASAVAD_TN703B_GJ_SSA RJ_PH3,\e=48253,TN703B R2.9.2 Rev.A,10.121.17.33,,2.9.1 Rev.A load2.9.1_p14,B1,2,,,
848,\10.121.17.34_SULTANPUR_TN703B_GJ_SSA RJ_PH3,2026-07-30 01:12:12,10.121.17.34_SULTANPUR_TN703B_GJ_SSA RJ_PH3,\e=48259,TN703B R2.9.2 Rev.A,10.121.17.34,,2.9.1 Rev.A load2.9.1_p14,B1,2,,,
